Timepoint,miRNA,baseMean,log2FoldChange,padj
Post-AAE vs Pre-AAE,hsa-miR-6805-5p,35.7,-1.44,0.065
Post-AAE vs Pre-AAE,hsa-miR-1-3p,306.9,-1.99,0.066
Post-AAE vs Pre-AAE,hsa-miR-6858-5p,103.1,-1.88,0.067
Post-AAE vs Pre-AAE,hsa-miR-1976,23.5,-2.1,0.07
Post-AAE vs Pre-AAE,hsa-miR-501-3p,53.1,-1.5,0.071
Post-AAE vs Pre-AAE,hsa-miR-6802-5p,147.5,-1.36,0.081
Post-AAE vs Pre-AAE,hsa-miR-6873-5p,21.9,-1.88,0.081
Post-AAE vs Pre-AAE,hsa-miR-888-5p,13.5,2.67,0.081
Post-AAE vs Pre-AAE,hsa-miR-4474-3p,26.3,-1.71,0.085
Post-AAE vs Pre-AAE,hsa-miR-3911,32.7,-1.58,0.087
Post-AAE vs Pre-AAE,hsa-miR-331-5p,34.9,-1.77,0.092
Post-AAE vs Pre-AAE,hsa-miR-4787-3p,108.4,-1.23,0.092
Post-AAE vs Pre-AAE,hsa-miR-4488,79.3,-1.3,0.093
Post-AAE vs Pre-AAE,hsa-miR-6499-5p,268.2,-1.04,0.093
Post-AAE vs Pre-AAE,hsa-miR-6715b-5p,21,-1.98,0.093
Post-AAE vs Pre-AAE,hsa-miR-2114-5p,82.8,-1.26,0.095
Post-AAE vs Pre-AAE,hsa-miR-4726-3p,68.6,-1.44,0.095
Post-AAE vs Pre-AAE,hsa-miR-6889-5p,94.4,-1.13,0.095
Post-AAE vs Pre-AAE,hsa-miR-933,18,-1.36,0.095
Post-AAE vs Pre-AAE,hsa-miR-6885-5p,52.9,-1.41,0.096
Post-AAE vs Pre-AAE,hsa-miR-2861,637.8,-1.08,0.099
Post-AAE vs Pre-AAE,hsa-miR-3618,22.6,-1.8,0.099
Post-AAE vs Pre-AAE,hsa-miR-3651,51,-1.23,0.099
Post-AAE vs Pre-AAE,hsa-miR-3944-3p,62.4,-1.4,0.099
Post-AAE vs Pre-AAE,hsa-miR-4256,17.1,-1.67,0.099
Post-AAE vs Pre-AAE,hsa-miR-4283,137,-1.4,0.099
Post-AAE vs Pre-AAE,hsa-miR-4447,88.8,-1.41,0.099
Post-AAE vs Pre-AAE,hsa-miR-520d-3p,15.6,-1.95,0.099
Post-AAE vs Pre-AAE,hsa-miR-5586-5p,16.5,-2.09,0.099
Post-AAE vs Pre-AAE,hsa-miR-5693,49.9,-1.58,0.099
Post-AAE vs Pre-AAE,hsa-miR-642b-3p,33.7,-1.59,0.099
Post-AAE vs Pre-AAE,hsa-miR-6511a-5p,115.8,-1.08,0.099
Post-AAE vs Pre-AAE,hsa-miR-6752-5p,83.9,-1.2,0.099
Post-AAE vs Pre-AAE,hsa-miR-6773-5p,36.5,-1.87,0.099
